Station Name,Date/Time (LST),Year,Month,Day,Time (LST),Temp,Dew Point,Rel_H,Wind Dir,Wind Spd,Solar Radiation,,,ta,rh,dpT,ws,gws,wd,rsds,,dta,dws,drh
OTTAWA INTL A,2024-06-15 17:00,2024,6,15,17:00,18.9,2.2,32,33,19,520.1880058,,,19.91665,34.38486667,3.748033333,2.016666667,3.491666667,309.4333333,,,1.01665,3.261111111,2.38486667
OTTAWA INTL A,2024-06-15 18:00,2024,6,15,18:00,18.7,2.5,34,34,18,334.7600055,,,19.734,34.29375,3.555033333,1.65,2.991666667,303.6833333,,,1.034,3.35,0.29375
OTTAWA INTL A,2024-06-15 19:00,2024,6,15,19:00,17.7,3.4,38,34,11,145.7914227,,,19.21455,35.19101667,3.46825,1.25,2.5,327.0833333,,,1.51455,1.805555556,2.80898333
OTTAWA INTL A,2024-06-15 20:00,2024,6,15,20:00,15.6,3.6,44,6,7,25.4405598,,,17.56555,40.11558333,3.8293,0.291666667,0.933333333,340.5333333,,,1.96555,1.652777777,3.88441667
OTTAWA INTL A,2024-06-15 21:00,2024,6,15,21:00,11.5,5.4,66,9,4,2.453211533,,,15.14126667,51.33013333,5.155633333,0,0,350,,,3.64126667,1.111111111,14.66986667
OTTAWA INTL A,2024-06-15 22:00,2024,6,15,22:00,11.1,4.9,65,20,5,2.142818283,,,13.06186667,56.33218333,4.573166667,0,0,350,,,1.96186667,1.388888889,8.66781667
OTTAWA INTL A,2024-06-15 23:00,2024,6,15,23:00,10.5,5.8,72,17,3,2.2019422,,,12.5693,67.7285,6.6976,0.025,0.1,285.6166667,,,2.0693,0.808333333,4.2715
OTTAWA INTL A,2024-06-16 0:00,2024,6,16,0:00,10.9,5.1,67,36,3,1.90115045,,,11.23165,78.86128333,7.708033333,0,0,0,,,0.33165,0.833333333,11.86128333
OTTAWA INTL A,2024-06-16 1:00,2024,6,16,1:00,9,4.9,75,36,3,1.682090883,,,10.75663333,78.92541667,7.253316667,0.016666667,0.191666667,146.7833333,,,1.75663333,0.816666666,3.92541667
OTTAWA INTL A,2024-06-16 2:00,2024,6,16,2:00,8,4.5,79,36,2,1.789295333,,,10.05843333,85.30885,7.713666667,0,0.058333333,329.15,,,2.05843333,0.555555556,6.30885
OTTAWA INTL A,2024-06-16 3:00,2024,6,16,3:00,6.8,5.2,90,5,5,1.75962735,,,9.3561,86.89446667,7.292666667,0.033333333,0.25,325.85,,,2.5561,1.355555556,3.10553333
OTTAWA INTL A,2024-06-16 4:00,2024,6,16,4:00,8.4,5.7,83,36,1,1.99664055,,,8.717233333,89.4506,7.087283333,0,0.125,324,,,0.317233333,0.277777778,6.4506
OTTAWA INTL A,2024-06-16 5:00,2024,6,16,5:00,7.2,6.8,97,23,4,18.54827452,,,8.481266667,89.31461667,6.831433333,0.025,0.141666667,324,,,1.281266667,1.086111111,7.68538333
OTTAWA INTL A,2024-06-16 6:00,2024,6,16,6:00,12.1,8.2,77,36,1,147.2565067,,,10.47915,81.50508333,7.441866667,0.008333333,0.1,219.9666667,,,1.62085,0.269444445,4.50508333
OTTAWA INTL A,2024-06-16 7:00,2024,6,16,7:00,14.7,7,60,36,1,259.1059498,,,13.43935,72.43758333,8.592283333,0.166666667,0.858333333,53.7,,,1.26065,0.111111111,12.43758333
OTTAWA INTL A,2024-06-16 8:00,2024,6,16,8:00,16.8,8.3,57,19,7,445.144763,,,15.59123333,65.46898333,9.146366667,0.133333333,0.783333333,129.4666667,,,1.20876667,1.811111111,8.46898333
OTTAWA INTL A,2024-06-16 9:00,2024,6,16,9:00,18.1,6.6,46,14,9,571.660524,,,17.75431667,56.41913333,8.978883333,0.25,1,118.2166667,,,0.34568333,2.25,10.41913333
OTTAWA INTL A,2024-06-16 10:00,2024,6,16,10:00,18.9,5.8,42,19,6,563.2739605,,,19.05118333,51.30948333,8.779766667,0.666666667,1.616666667,120.4166667,,,0.15118333,1,9.30948333
OTTAWA INTL A,2024-06-16 11:00,2024,6,16,11:00,19.5,5.5,40,18,3,718.824472,,,19.95626667,46.62953333,8.1686,1.325,2.658333333,140.3166667,,,0.45626667,0.491666667,6.62953333
OTTAWA INTL A,2024-06-16 12:00,2024,6,16,12:00,20.1,6,39,19,7,683.7904183,,,20.48471667,41.94568333,7.117616667,1.508333333,2.783333333,127.2833333,,,0.38471667,0.436111111,2.94568333
OTTAWA INTL A,2024-06-16 13:00,2024,6,16,13:00,20.5,6.2,39,13,4,552.9251322,,,21.00651667,40.26163333,6.984683333,0.825,1.85,165.0333333,,,0.50651667,0.286111111,1.26163333
OTTAWA INTL A,2024-06-16 14:00,2024,6,16,14:00,20.8,6.5,39,15,11,472.4676862,,,21.43836667,38.22575,6.618916667,0.575,1.516666667,158.95,,,0.63836667,2.480555556,0.77425
OTTAWA INTL A,2024-06-16 15:00,2024,6,16,15:00,20.3,6.7,41,18,9,350.8449182,,,20.96398333,41.16558333,7.275633333,1.291666667,2.45,143.4833333,,,0.66398333,1.208333333,0.16558333
OTTAWA INTL A,2024-06-16 16:00,2024,6,16,16:00,20.5,7.1,42,17,10,315.3948852,,,21.14095,42.40035,7.8702,1.125,2.325,140.9166667,,,0.64095,1.652777778,0.40035
OTTAWA INTL A,2024-06-16 17:00,2024,6,16,17:00,19.6,8.6,49,17,5,172.7981082,,,20.90533333,40.91186667,7.13745,0.916666667,2.05,171.3666667,,,1.30533333,0.472222222,8.08813333
OTTAWA INTL A,2024-06-16 18:00,2024,6,16,18:00,19.1,10.2,56,14,7,79.37294955,,,20.29365,41.93771667,6.950283333,0.75,1.775,147.3833333,,,1.19365,1.194444444,14.06228333
OTTAWA INTL A,2024-06-16 19:00,2024,6,16,19:00,18.6,10.7,60,13,7,95.70961968,,,20.3313,42.83653333,7.2842,0.45,1.233333333,141.8,,,1.7313,1.494444444,17.16346667
OTTAWA INTL A,2024-06-16 20:00,2024,6,16,20:00,14.5,10.4,77,13,8,15.98079007,,,19.17815,50.55875,8.668333333,0.341666667,1.058333333,109.8833333,,,4.67815,1.880555555,26.44125
OTTAWA INTL A,2024-06-16 21:00,2024,6,16,21:00,14.2,9.5,73,12,11,2.06833655,,,17.90798333,57.52565,9.413066667,0.008333333,0.225,109.1333333,,,3.70798333,3.047222223,15.47435
OTTAWA INTL A,2024-06-16 22:00,2024,6,16,22:00,15.2,9.2,67,12,8,1.760740583,,,17.21781667,59.16971667,9.192733333,0.116666667,0.6,110.2666667,,,2.01781667,2.105555555,7.83028333
OTTAWA INTL A,2024-06-16 23:00,2024,6,16,23:00,15.4,10,70,10,12,1.676987583,,,16.97651667,59.77746667,9.118666667,0.016666667,0.416666667,110.85,,,1.57651667,3.316666666,10.22253333
OTTAWA INTL A,2024-06-17 0:00,2024,6,17,0:00,15.7,9.9,68,8,9,1.557823783,,,16.84276667,60.11316667,9.072,0.025,0.316666667,108.5333333,,,1.14276667,2.475,7.88683333
OTTAWA INTL A,2024-06-17 1:00,2024,6,17,1:00,15.2,10.6,74,10,11,1.742886717,,,16.3109,64.13711667,9.529366667,0,0.2,96.86666667,,,1.1109,3.055555556,9.86288333
OTTAWA INTL A,2024-06-17 2:00,2024,6,17,2:00,15.1,11.3,78,8,8,1.83834785,,,15.78183333,75.67871667,11.5096,0.366666667,1.216666667,50.63333333,,,0.68183333,1.855555555,2.32128333
OTTAWA INTL A,2024-06-17 3:00,2024,6,17,3:00,15.2,11.6,79,9,9,1.490834033,,,16.053,67.83821667,10.1238,0.416666667,1.266666667,66.55,,,0.853,2.083333333,11.16178333
OTTAWA INTL A,2024-06-17 4:00,2024,6,17,4:00,15.2,12.5,84,6,8,2.135511067,,,15.94296667,68.50096667,10.16645,0.1,0.65,62.41666667,,,0.74296667,2.122222222,15.49903333
OTTAWA INTL A,2024-06-17 5:00,2024,6,17,5:00,14.9,13.2,90,33,8,5.914270117,,,15.43183333,75.64878333,11.15098333,0.041666667,0.358333333,193.9166667,,,0.53183333,2.180555555,14.35121667
OTTAWA INTL A,2024-06-17 6:00,2024,6,17,6:00,14.3,14.3,100,19,4,15.061659,,,15.20081667,83.40381667,12.42255,0,0.108333333,156.7833333,,,0.90081667,1.111111111,16.59618333
OTTAWA INTL A,2024-06-17 7:00,2024,6,17,7:00,15,15,100,19,0,58.93975048,,,15.671,83.12698333,12.83028333,0.375,1.041666667,89.88333333,,,0.671,0.375,16.87301667
OTTAWA INTL A,2024-06-17 8:00,2024,6,17,8:00,17.5,17.5,100,19,14,325.894286,,,17.1881,79.49988333,13.61508333,0.391666667,1.291666667,146.4166667,,,0.3119,3.497222222,20.50011667
OTTAWA INTL A,2024-06-17 9:00,2024,6,17,9:00,20.3,18.3,88,21,14,601.776933,,,20.20376667,75.06303333,15.66125,1.308333333,2.633333333,184.95,,,0.09623333,2.580555556,12.93696667
OTTAWA INTL A,2024-06-17 10:00,2024,6,17,10:00,23.2,19.1,78,20,19,534.2562885,,,21.9441,73.24035,16.9534,0.85,2.025,166.6666667,,,1.2559,4.427777778,4.75965
OTTAWA INTL A,2024-06-17 11:00,2024,6,17,11:00,25.3,19.4,70,21,21,814.5249937,,,24.62796667,67.36615,18.18973333,1.275,2.9,211,,,0.67203333,4.558333333,2.63385
OTTAWA INTL A,2024-06-17 12:00,2024,6,17,12:00,26.3,19.8,67,21,16,901.552865,,,26.54688333,63.93171667,19.1749,1.583333333,3.375,197.5,,,0.24688333,2.861111111,3.06828333
OTTAWA INTL A,2024-06-17 13:00,2024,6,17,13:00,27.8,20.8,65,24,18,892.7168065,,,27.31753333,61.53835,19.2949,2.358333333,4.225,175.6833333,,,0.48246667,2.641666667,3.46165
OTTAWA INTL A,2024-06-17 14:00,2024,6,17,14:00,28.4,21.5,65,23,20,871.6298453,,,28.86061667,58.76756667,19.99853333,2.116666667,3.975,187.4333333,,,0.46061667,3.438888889,6.23243333
OTTAWA INTL A,2024-06-17 15:00,2024,6,17,15:00,29.1,20.7,60,17,15,566.3246642,,,29.1946,59.0124,20.37456667,1.716666667,3.291666667,204.15,,,0.0946,2.45,0.9876
OTTAWA INTL A,2024-06-17 16:00,2024,6,17,16:00,30.2,21.3,58,23,10,564.1337525,,,30.59736667,55.0579,20.56193333,1.208333333,2.8,193.25,,,0.39736667,1.569444445,2.9421
OTTAWA INTL A,2024-06-17 17:00,2024,6,17,17:00,29.6,21.4,61,18,17,448.4544635,,,31.11498333,54.13051667,20.76351667,1.283333333,2.7,193.6833333,,,1.51498333,3.438888889,6.86948333
OTTAWA INTL A,2024-06-17 18:00,2024,6,17,18:00,29.3,21.8,63,20,14,272.3493422,,,30.55758333,56.07076667,20.82056667,1.566666667,3.025,175.7,,,1.25758333,2.322222222,6.92923333
OTTAWA INTL A,2024-06-17 19:00,2024,6,17,19:00,27.8,21.4,68,17,13,127.2665363,,,29.83383333,58.47138333,20.83253333,1.9,3.441666667,168.5,,,2.03383333,1.711111111,9.52861667
OTTAWA INTL A,2024-06-17 20:00,2024,6,17,20:00,26.3,20.4,69,18,16,23.59499735,,,28.32525,62.44523333,20.47956667,1.908333333,3.416666667,160,,,2.02525,2.536111111,6.55476667
OTTAWA INTL A,2024-06-17 21:00,2024,6,17,21:00,24.8,20.4,76,19,11,2.330146983,,,27.04838333,63.87326667,19.64098333,1.675,3.058333333,154.1333333,,,2.24838333,1.380555556,12.12673333
OTTAWA INTL A,2024-06-17 22:00,2024,6,17,22:00,23.8,20.1,79,21,11,1.899937133,,,26.26946667,66.1394,19.46871667,1.341666667,2.658333333,170.2333333,,,2.46946667,1.713888889,12.8606
OTTAWA INTL A,2024-06-17 23:00,2024,6,17,23:00,22.9,20,84,18,9,1.916079533,,,25.54958333,67.5785,19.12985,1.575,3.058333333,174.8166667,,,2.64958333,0.925,16.4215
OTTAWA INTL A,2024-06-18 0:00,2024,6,18,0:00,22.6,19.5,82,21,10,1.962486233,,,24.68878333,69.70185,18.80368333,0.941666667,2.05,178.0166667,,,2.08878333,1.836111111,12.29815
OTTAWA INTL A,2024-06-18 1:00,2024,6,18,1:00,22.2,19.4,84,22,10,1.831431383,,,24.11643333,71.20775,18.59781667,0.375,1.291666667,237.0833333,,,1.91643333,2.402777778,12.79225
OTTAWA INTL A,2024-06-18 2:00,2024,6,18,2:00,21.3,19.4,89,18,8,1.770838867,,,23.55096667,73.20921667,18.49796667,0.45,1.35,214.8166667,,,2.25096667,1.772222222,15.79078333
OTTAWA INTL A,2024-06-18 3:00,2024,6,18,3:00,20.9,19.4,91,19,9,1.725846867,,,22.93506667,75.40568333,18.375,0.283333333,1.091666667,196.8166667,,,2.03506667,2.216666667,15.59431667
OTTAWA INTL A,2024-06-18 4:00,2024,6,18,4:00,20.3,19.9,97,19,7,1.892703017,,,22.3091,77.84073333,18.27681667,0.208333333,1,184.8333333,,,2.0091,1.736111111,19.15926667
OTTAWA INTL A,2024-06-18 5:00,2024,6,18,5:00,20.3,20.2,100,18,9,13.98923837,,,21.8619,79.66913333,18.21306667,0.075,0.675,183.6666667,,,1.5619,2.425,20.33086667
OTTAWA INTL A,2024-06-18 6:00,2024,6,18,6:00,21.1,20.9,98,20,8,79.78217155,,,21.79873333,81.00201667,18.41678333,0.808333333,1.708333333,160.7833333,,,0.69873333,1.413888889,16.99798333
OTTAWA INTL A,2024-06-18 7:00,2024,6,18,7:00,22.5,20.8,90,19,14,255.8553188,,,22.93468333,78.33968333,18.98485,1.241666667,2.425,176.9666667,,,0.43468333,2.647222222,11.66031667
OTTAWA INTL A,2024-06-18 8:00,2024,6,18,8:00,24.1,22,88,19,15,351.2865465,,,24.20868333,76.25171667,19.78495,1.775,3.133333333,169.3,,,0.10868333,2.391666667,11.74828333
OTTAWA INTL A,2024-06-18 9:00,2024,6,18,9:00,26.1,22.5,80,19,19,596.9695427,,,25.92781667,72.61783333,20.649,1.966666667,3.516666667,185.6833333,,,0.17218333,3.311111111,7.38216667
OTTAWA INTL A,2024-06-18 10:00,2024,6,18,10:00,27.5,23.4,78,20,13,705.6467445,,,27.7848,69.37593333,21.68463333,1.383333333,2.975,213.2833333,,,0.2848,2.227777778,8.62406667
OTTAWA INTL A,2024-06-18 11:00,2024,6,18,11:00,29.3,24.1,73,21,13,730.2818167,,,29.12385,66.48928333,22.26253333,1.825,3.491666667,207.6833333,,,0.17615,1.786111111,6.51071667
OTTAWA INTL A,2024-06-18 12:00,2024,6,18,12:00,30.5,24,68,20,15,855.4384368,,,30.17226667,65.38556667,22.97433333,1.6,3,174.7333333,,,0.32773333,2.566666667,2.61443333
OTTAWA INTL A,2024-06-18 13:00,2024,6,18,13:00,31.5,24.2,65,18,16,815.8392187,,,31.52781667,61.93553333,23.36236667,1.616666667,3,162.9333333,,,0.02781667,2.827777777,3.06446667
OTTAWA INTL A,2024-06-18 14:00,2024,6,18,14:00,32,24,62,19,17,696.5216963,,,32.52616667,58.1127,23.2431,1.708333333,3.291666667,177.5166667,,,0.52616667,3.013888889,3.8873
OTTAWA INTL A,2024-06-18 15:00,2024,6,18,15:00,31.2,24.2,66,16,19,637.7126985,,,33.0673,56.34151667,23.23191667,1.875,3.591666667,186.4,,,1.8673,3.402777778,9.65848333
OTTAWA INTL A,2024-06-18 16:00,2024,6,18,16:00,31.9,23.7,61,17,18,535.9492877,,,32.23023333,59.3868,23.32748333,2.758333333,4.533333333,160.9333333,,,0.33023333,2.241666667,1.6132
OTTAWA INTL A,2024-06-18 17:00,2024,6,18,17:00,31.5,23.9,64,18,15,400.8682163,,,32.47756667,57.80323333,23.10958333,2.4,4.083333333,155.5833333,,,0.97756667,1.766666667,6.19676667
OTTAWA INTL A,2024-06-18 18:00,2024,6,18,18:00,30.5,24.1,68,19,13,72.11524133,,,30.94396667,62.17278333,22.88225,1.933333333,3.441666667,171.0666667,,,0.44396667,1.677777778,5.82721667
OTTAWA INTL A,2024-06-18 19:00,2024,6,18,19:00,28.3,22.9,72,19,12,43.93600488,,,30.15733333,64.72958333,22.80433333,2.25,3.991666667,172.9333333,,,1.85733333,1.083333333,7.27041667
OTTAWA INTL A,2024-06-18 20:00,2024,6,18,20:00,26.8,22.2,75,19,14,43.26067755,,,29.21,66.57448333,22.37026667,1.3,2.991666667,197.3166667,,,2.41,2.588888889,8.42551667
OTTAWA INTL A,2024-06-18 21:00,2024,6,18,21:00,25.5,21.9,80,20,12,2.471927417,,,27.81381667,67.87368333,21.35871667,1.416666667,2.766666667,183.3166667,,,2.31381667,1.916666666,12.12631667
OTTAWA INTL A,2024-06-18 22:00,2024,6,18,22:00,24.8,21.5,81,21,9,2.003384533,,,26.77495,69.57003333,20.76851667,0.341666667,1.125,206.2166667,,,1.97495,2.158333333,11.42996667
OTTAWA INTL A,2024-06-18 23:00,2024,6,18,23:00,24.5,21.5,83,21,11,1.949432183,,,25.96955,71.88293333,20.52883333,0.083333333,0.575,213.1833333,,,1.46955,2.972222223,11.11706667
OTTAWA INTL A,2024-06-19 0:00,2024,6,19,0:00,24,21.7,87,19,9,1.744012417,,,25.41698333,73.86965,20.4401,0.033333333,0.4,204.2833333,,,1.41698333,2.466666667,13.13035
OTTAWA INTL A,2024-06-19 1:00,2024,6,19,1:00,22.9,21.8,93,18,4,1.6959254,,,25.34935,74.1323,20.43278333,0.458333333,1.5,188.4333333,,,2.44935,0.652777778,18.8677
OTTAWA INTL A,2024-06-19 2:00,2024,6,19,2:00,22.7,22.3,98,20,7,1.625646117,,,24.89325,75.96346667,20.38738333,0.441666667,1.216666667,177.5166667,,,2.19325,1.502777777,22.03653333
OTTAWA INTL A,2024-06-19 3:00,2024,6,19,3:00,22.7,22.6,99,23,4,1.750820767,,,24.57863333,77.2962,20.36526667,0.083333333,0.491666667,199.4,,,1.87863333,1.027777778,21.7038
OTTAWA INTL A,2024-06-19 4:00,2024,6,19,4:00,22,22,100,16,8,1.7562502,,,24.07353333,79.91873333,20.41571667,0.1,0.45,206.9,,,2.07353333,2.122222222,20.08126667
OTTAWA INTL A,2024-06-19 5:00,2024,6,19,5:00,22.4,22.4,100,17,9,6.7889794,,,23.48023333,83.16671667,20.48346667,0.108333333,0.575,205.95,,,1.08023333,2.391666667,16.83328333
OTTAWA INTL A,2024-06-19 6:00,2024,6,19,6:00,23,23,100,16,9,41.50272245,,,23.56995,84.46948333,20.82323333,0.783333333,1.616666667,166.8833333,,,0.56995,1.716666667,15.53051667
OTTAWA INTL A,2024-06-19 7:00,2024,6,19,7:00,25.8,21.9,79,21,8,154.6914181,,,24.98151667,79.83743333,21.2811,0.425,1.208333333,163.3,,,0.81848333,1.797222222,0.83743333
OTTAWA INTL A,2024-06-19 8:00,2024,6,19,8:00,28.5,22.5,69,22,13,478.5815665,,,27.78936667,68.6387,21.48978333,1.325,2.466666667,169.9833333,,,0.71063333,2.286111111,0.3613
OTTAWA INTL A,2024-06-19 9:00,2024,6,19,9:00,29.6,22.9,67,22,18,615.1094873,,,30.60153333,58.97806667,21.67938333,1.091666667,2.5,195.95,,,1.00153333,3.908333333,8.02193333
OTTAWA INTL A,2024-06-19 10:00,2024,6,19,10:00,30.1,22.8,64,20,17,691.9578497,,,31.27866667,57.14091667,21.79055,1.291666667,2.741666667,194.1,,,1.17866667,3.430555555,6.85908333
OTTAWA INTL A,2024-06-19 11:00,2024,6,19,11:00,31.1,24,65,19,14,570.6264055,,,31.94315,56.44603333,22.21631667,1.4,3.091666667,211.0333333,,,0.84315,2.488888889,8.55396667
OTTAWA INTL A,2024-06-19 12:00,2024,6,19,12:00,30.2,23.8,68,20,19,397.986901,,,31.62961667,58.81275,22.60603333,1.641666667,3.291666667,178.1166667,,,1.42961667,3.636111111,9.18725
OTTAWA INTL A,2024-06-19 13:00,2024,6,19,13:00,32.3,24,61,19,19,664.3144485,,,31.91523333,59.69528333,23.11805,2.516666667,4.458333333,171.2,,,0.38476667,2.761111111,1.30471667
OTTAWA INTL A,2024-06-19 14:00,2024,6,19,14:00,32.2,23.5,59,21,22,852.7046903,,,33.46705,53.91431667,22.86441667,2.416666667,4.608333333,198.7666667,,,1.26705,3.694444444,5.08568333
OTTAWA INTL A,2024-06-19 15:00,2024,6,19,15:00,33.2,23,54,22,20,754.8424243,,,34.32671667,47.74643333,21.65988333,2.533333333,4.918333333,230.2166667,,,1.12671667,3.022222223,6.25356667
OTTAWA INTL A,2024-06-19 16:00,2024,6,19,16:00,30.7,23.3,64,21,25,400.8215287,,,33.34976667,49.68088333,21.41221667,2.066666667,4.391666667,228.7,,,2.64976667,4.877777777,14.31911667
OTTAWA INTL A,2024-06-19 17:00,2024,6,19,17:00,31.5,22.3,58,21,23,373.4324053,,,32.34245,56.39421667,22.5736,2.075,4.301666667,199.5,,,0.84245,4.313888889,1.60578333
OTTAWA INTL A,2024-06-19 18:00,2024,6,19,18:00,30.6,23.2,64,21,19,229.9844915,,,31.6372,55.7673,21.72878333,2.491666667,4.846666667,231.2333333,,,1.0372,2.786111111,8.2327
OTTAWA INTL A,2024-06-19 19:00,2024,6,19,19:00,29.3,22.8,68,22,18,59.3775582,,,30.88148333,56.46303333,21.23158333,1.825,3.816666667,231.05,,,1.58148333,3.175,11.53696667
OTTAWA INTL A,2024-06-19 20:00,2024,6,19,20:00,28,22.6,72,21,14,23.13086113,,,30.03251667,60.16451667,21.48233333,1.633333333,3.458333333,234.6666667,,,2.03251667,2.255555556,11.83548333
OTTAWA INTL A,2024-06-19 21:00,2024,6,19,21:00,26.8,23.3,81,20,13,2.452293517,,,29.12243333,64.0894,21.65846667,1.183333333,2.858333333,209.45,,,2.32243333,2.427777778,16.9106
OTTAWA INTL A,2024-06-19 22:00,2024,6,19,22:00,26.6,23.6,83,22,16,1.709211983,,,28.31025,66.35936667,21.46231667,1.091666667,2.591666667,209.1333333,,,1.71025,3.352777777,16.64063333
OTTAWA INTL A,2024-06-19 23:00,2024,6,19,23:00,26,23.4,85,22,14,1.943456617,,,27.94426667,67.59928333,21.41583333,1.666666667,3.466666667,237.1833333,,,1.94426667,2.222222222,17.40071667
OTTAWA INTL A,2024-06-20 0:00,2024,6,20,0:00,24.8,23,89,28,7,1.99088705,,,27.27645,70.65798333,21.50145,1.858333333,3.885,226.95,,,2.47645,0.086111111,18.34201667
OTTAWA INTL A,2024-06-20 1:00,2024,6,20,1:00,24.3,22.8,91,22,10,1.638272133,,,26.9526,72.52646667,21.61966667,1.2,2.916666667,223.9166667,,,2.6526,1.577777778,18.47353333
OTTAWA INTL A,2024-06-20 2:00,2024,6,20,2:00,23.9,22.8,93,22,8,2.252843017,,,26.02718333,75.65565,21.41191667,0.191666667,0.641666667,238.2333333,,,2.12718333,2.030555555,17.34435
OTTAWA INTL A,2024-06-20 3:00,2024,6,20,3:00,23.3,23.2,99,22,8,1.57819275,,,25.3097,78.09788333,21.2431,0.275,0.75,201.4333333,,,2.0097,1.947222222,20.90211667
OTTAWA INTL A,2024-06-20 4:00,2024,6,20,4:00,23.3,23.3,100,22,8,1.569710283,,,25.66543333,76.01878333,21.14421667,0.333333333,1.133333333,210.8333333,,,2.36543333,1.888888889,23.98121667
OTTAWA INTL A,2024-06-20 5:00,2024,6,20,5:00,23.2,23.2,100,21,13,10.29730835,,,25.6615,75.2918,20.98425,0.766666667,1.9,258.35,,,2.4615,2.844444444,24.7082
OTTAWA INTL A,2024-06-20 6:00,2024,6,20,6:00,24.5,23.8,96,26,9,97.60403197,,,25.709,75.42551667,21.05846667,0.466666667,1.45,259.3666667,,,1.209,2.033333333,20.57448333
OTTAWA INTL A,2024-06-20 7:00,2024,6,20,7:00,27.2,22.7,76,28,14,296.8263338,,,27.0223,70.75223333,21.27878333,1.358333333,2.4,274.0833333,,,0.1777,2.530555556,5.24776667
OTTAWA INTL A,2024-06-20 8:00,2024,6,20,8:00,27.8,22.5,73,28,19,463.0092683,,,28.00173333,67.18048333,21.36643333,2.008333333,3.366666667,276.4333333,,,0.20173333,3.269444445,5.81951667
